"id_number";"log_type";"data";"server_datetime";"FK_USUARIO_nickname"
"192";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""recurso_acciones""}}";"2019-10-11 17:26:08";"indu3"
"193";"paso_tour";"{""id_desafio"":1,""data"":{""seccion"":""recurso_acciones""}}";"2019-10-11 17:26:14";"usuario1"
"194";"cerrar_tour";"{""id_desafio"":4}";"2019-10-11 17:26:15";"indu3"
"195";"click_guardar";"{""id_desafio"":4,""data"":{""texto"":""guardado"",""id_SERP"":191}}";"2019-10-11 17:26:18";"Indu14"
"196";"pagination";"{""id_desafio"":4,""data"":{""pagina"":1}}";"2019-10-11 17:26:20";"indu3"
"197";"click_guardar";"{""id_desafio"":4,""data"":{""texto"":""guardado"",""id_SERP"":197}}";"2019-10-11 17:26:20";"Indu14"
"198";"click_guardar";"{""id_desafio"":4,""data"":{""texto"":""guardado"",""id_SERP"":195}}";"2019-10-11 17:26:23";"Indu14"
"199";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":2,""respuesta"":""Encuesta\na \npersonas \npara \nsaber\nsi \nposeen \nla \nenfermedad"",""tipo"":""text""}}";"2019-10-11 17:26:26";"indu6"
"200";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":1,""respuesta"":""3"",""tipo"":""checkbox""}}";"2019-10-11 17:26:26";"indu6"
"201";"login";;"2019-10-11 17:26:27";"Indu1"
"202";"pagination";"{""id_desafio"":1,""data"":{""pagina"":1}}";"2019-10-11 17:26:28";"indu6"
"203";"click_enviar_pretest_confirmado";;"2019-10-11 17:26:28";"indu6"
"204";"paso_tour";"{""id_desafio"":1,""data"":{""seccion"":""titulo_desafio""}}";"2019-10-11 17:26:28";"indu6"
"205";"click_guardar";"{""id_desafio"":4,""data"":{""texto"":""guardado"",""id_SERP"":200}}";"2019-10-11 17:26:37";"Indu13"
"206";"paso_tour";"{""id_desafio"":1,""data"":{""seccion"":""detalle_desafio_""}}";"2019-10-11 17:26:40";"indu6"
"207";"click_pagina";"{""id_desafio"":4,""data"":{""pagina"":2}}";"2019-10-11 17:26:43";"Indu14"
"208";"pagination";"{""id_desafio"":4,""data"":{""pagina"":1}}";"2019-10-11 17:26:43";"Indu13"
"209";"click_entrar";"{""id_desafio"":1}";"2019-10-11 17:26:43";"Indu1"
"210";"paso_tour";"{""id_desafio"":1,""data"":{""seccion"":""veces_recomendado""}}";"2019-10-11 17:26:44";"indu6"
"211";"click_pagina";"{""id_desafio"":4,""data"":{""pagina"":3}}";"2019-10-11 17:26:44";"Indu14"
"212";"click_pagina";"{""id_desafio"":4,""data"":{""pagina"":4}}";"2019-10-11 17:26:44";"Indu14"
"213";"click_pagina";"{""id_desafio"":4,""data"":{""pagina"":5}}";"2019-10-11 17:26:44";"Indu14"
"214";"click_finalizar_desafio";"{""id_desafio"":4}";"2019-10-11 17:26:45";"Indu14"
"215";"cerrar_tour";"{""id_desafio"":1}";"2019-10-11 17:26:45";"usuario1"
"216";"click_entrar_confirmado";"{""id_desafio"":1}";"2019-10-11 17:26:46";"Indu1"
"217";"click_finalizar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-11 17:26:46";"Indu14"
"218";"paso_tour";"{""id_desafio"":1,""data"":{""seccion"":""detalle_recurso""}}";"2019-10-11 17:26:48";"indu6"
"219";"click_SERP_titulo";"{""id_desafio"":4,""data"":{""url"":""https://www.bbc.com/mundo/noticias/2011/12/111207_ciencia_oceano_profundidad"",""id_SERP"":198}}";"2019-10-11 17:26:49";"Indu13"
"220";"paso_tour";"{""id_desafio"":1,""data"":{""seccion"":""recurso_acciones""}}";"2019-10-11 17:26:52";"indu6"
"221";"click_iniciar_desafio";"{""id_desafio"":1}";"2019-10-11 17:26:53";"Indu1"
"222";"click_iniciar_desafio_confirmado";"{""id_desafio"":1}";"2019-10-11 17:26:55";"Indu1"
"223";"cerrar_tour";"{""id_desafio"":1}";"2019-10-11 17:26:57";"indu6"
"224";"click_SERP_titulo";"{""id_desafio"":1,""data"":{""url"":""http://www.uchile.cl/noticias/124942/la-infeccion-por-vih-en-chile-es-una-epidemia-que-no-esta-controlada"",""id_SERP"":5}}";"2019-10-11 17:27:10";"usuario1"
"225";"click_entrar";"{""id_desafio"":1}";"2019-10-11 17:27:17";"indu8"
