"id_number";"log_type";"data";"server_datetime";"FK_USUARIO_nickname"
"3527";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":104}}";"2019-10-15 15:23:24";"usuario86"
"3528";"click_enviar_pretest_confirmado";;"2019-10-15 15:23:25";"usuario109"
"3529";"pagination";"{""id_desafio"":2,""data"":{""pagina"":1}}";"2019-10-15 15:23:25";"usuario109"
"3530";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""NO_recomendado"",""id_SERP"":104}}";"2019-10-15 15:23:25";"usuario86"
"3531";"click_SERP_titulo";"{""id_desafio"":3,""data"":{""url"":""https://www.puromotores.com/13154194/proceso-de-fabricacion-de-automoviles"",""id_SERP"":135}}";"2019-10-15 15:23:25";"usuario50"
"3532";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":104}}";"2019-10-15 15:23:25";"usuario86"
"3533";"click_entrar";"{""id_desafio"":3}";"2019-10-15 15:23:26";"usuario74"
"3534";"click_guardar";"{""id_desafio"":3,""data"":{""texto"":""guardado"",""id_SERP"":104}}";"2019-10-15 15:23:26";"usuario86"
"3535";"click_guardar";"{""id_desafio"":1,""data"":{""texto"":""guardado"",""id_SERP"":17}}";"2019-10-15 15:23:27";"usuario92"
"3536";"click_ver_ocultar_desafio";"{""id_desafio"":2,""data"":""ver_desafio""}";"2019-10-15 15:23:28";"usuario109"
"3537";"click_guardar";"{""id_desafio"":3,""data"":{""texto"":""guardado"",""id_SERP"":102}}";"2019-10-15 15:23:28";"usuario82"
"3538";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":102}}";"2019-10-15 15:23:28";"usuario82"
"3539";"click_entrar_confirmado";"{""id_desafio"":3}";"2019-10-15 15:23:28";"usuario74"
"3540";"click_entrar";"{""id_desafio"":2}";"2019-10-15 15:23:28";"usuario10"
"3541";"click_recomendar";"{""id_desafio"":1,""data"":{""texto"":""recomendado"",""id_SERP"":15}}";"2019-10-15 15:23:29";"usuario92"
"3542";"click_pagina";"{""id_desafio"":3,""data"":{""pagina"":4}}";"2019-10-15 15:23:30";"usuario81"
"3543";"click_guardar";"{""id_desafio"":1,""data"":{""texto"":""guardado"",""id_SERP"":15}}";"2019-10-15 15:23:30";"usuario92"
"3544";"click_entrar_cancelado";"{""id_desafio"":2}";"2019-10-15 15:23:30";"usuario10"
"3545";"click_pagina";"{""id_desafio"":3,""data"":{""pagina"":3}}";"2019-10-15 15:23:32";"usuario82"
"3546";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":139}}";"2019-10-15 15:23:33";"usuario50"
"3547";"click_guardar";"{""id_desafio"":3,""data"":{""texto"":""guardado"",""id_SERP"":139}}";"2019-10-15 15:23:34";"usuario50"
"3548";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":112}}";"2019-10-15 15:23:34";"usuario9"
"3549";"click_finalizar_desafio";"{""id_desafio"":1}";"2019-10-15 15:23:35";"usuario92"
"3550";"click_finalizar_desafio_confirmado";"{""id_desafio"":1}";"2019-10-15 15:23:36";"usuario92"
"3551";"click_SERP_ver";"{""id_desafio"":2,""data"":{""url"":""https://blogs.iadb.org/seguridad-ciudadana/es/datos-para-reducir-crimen-en-ecuador/"",""id_SERP"":89}}";"2019-10-15 15:23:36";"usuario108"
"3552";"click_SERP_titulo";"{""id_desafio"":2,""data"":{""url"":""https://www.infobae.com/2012/11/04/1060820-secretos-estados-unidos-reducir-el-crimen/"",""id_SERP"":75}}";"2019-10-15 15:23:37";"usuario80"
"3553";"click_enviar_posttest";"{""id_desafio"":3,""dato"":{""id_pretest"":3,""respuesta"":""1"",""tipo"":""checkbox""}}";"2019-10-15 15:23:38";"usuario57"
"3554";"click_enviar_posttest";"{""id_desafio"":3,""dato"":{""id_pretest"":4,""respuesta"":""Ingenio\nMotivacion\nEstudios previos"",""tipo"":""text""}}";"2019-10-15 15:23:38";"usuario57"
"3555";"click_enviar_posttest";"{""id_desafio"":3,""dato"":{""id_pretest"":3,""respuesta"":""1"",""tipo"":""checkbox""}}";"2019-10-15 15:23:38";"usuario57"
"3556";"click_enviar_posttest_confirmado";;"2019-10-15 15:23:39";"usuario57"
"3557";"click_guardar";"{""id_desafio"":2,""data"":{""texto"":""guardado"",""id_SERP"":75}}";"2019-10-15 15:23:39";"usuario80"
"3558";"click_pagina";"{""id_desafio"":3,""data"":{""pagina"":3}}";"2019-10-15 15:23:39";"usuario86"
"3559";"click_pagina";"{""id_desafio"":3,""data"":{""pagina"":4}}";"2019-10-15 15:23:40";"usuario82"
